sample	fws
PF0489C	0.987
PF0491C	0.992
PF0494C	0.914
PF0499C	0.621
PF0511C	0.603
PF0513C	0.983
PF0524C	0.915
PF0539C	0.798
PF0556Cx	0.996
PF0557Cx	0.503
PF0559C	0.987
PF0559Cx	0.987
PF0560C	0.991
PF0578C	0.982
PF0578Cx	0.982
PF0579C	0.453
PF0583C	0.662
PF0584C	0.985
PF0590C	0.984
PF0590Cx	0.984
PF0597C	0.991
PF0614C	0.983
PF0617C	0.979
PF0619C	0.426
PF0621C	0.665
PF0625C	0.961
PF0627C	0.55
PF0629C	0.889
PF0632C	0.987
PF0635C	0.99
PF0643C	0.403
PF0661C	0.991
PF0666C	0.993
PF0668C	0.99
PF0669C	0.633
PF0670C	0.995
PF0675C	0.433
PF0678C	0.994
PF0681C	0.863
PF0682C	0.589
PF0686C	0.973
PF0689C	0.985
PF0692C	0.988
PF0694C	0.963
PF0697C	0.995
PF0700C	0.52
PF0701C	0.954
PF0703C	0.923
PF0704C	0.989
PF0708C	0.79
PF0711C	0.631
PF0715C	0.991
PF0722C	0.986
PF0724C	0.447
PF0725C	0.99
PF0727C	0.684
PF0729C	0.989
PF0730C	0.992
PF0731C	0.493
PF0732C	0.668
PF0735C	0.458
PF0739C	0.55
PF0740C	0.516
PF0743C	0.916
PF0748C	0.989
PF0751C	0.785
PF0753C	0.707
PF0754C	0.993
PF0755C	0.733
PF0756C	0.851
PF0767C	0.991
PF0769C	0.987
PF0780C	0.988
PF0783C	0.984
PF0787C	0.838
PF0789C	0.989
PF0793C	0.511
PF0798C	0.934
PF0801C	0.714
PF0803C	0.992
PF0804C	0.771
PF0809C	0.986
PF0810C	0.979
PF0811C	0.99
PF0814C	0.845
PF0816C	0.983
PF0819C	0.324
PT0001CW	0.571
PT0002CW	0.981
PT0004CW	0.558
PT0005CW	0.906
PT0006CW	0.826
PT0008CW	0.962
PT0010CW	0.663
PT0013CW	0.501
PT0014CW	0.984
PT0016CW	0.518
PT0017CW	0.685
PT0018CW	0.987
PT0020CW	0.971
PT0021CW	0.966
PT0023CW	0.986
PT0027C	0.99
PT0029C	0.521
PT0031C	0.994
PT0039C	0.865
PT0040C	0.99
PT0041C	0.993
PT0042C	0.99
PT0043C	0.673
PT0044C	0.665
PT0046C	0.46
PT0051C	0.267
PT0052C	0.984
PT0056C	0.922
PT0057C	0.567
PT0058C	0.986
PT0059C	0.909
PT0060C	0.988
PT0061C	0.527
PT0064C	0.832
PT0065C	0.321
PT0066C	0.981
PT0067C	0.54
PT0068C	0.961
PT0069C	0.577
PT0071C	0.926
PT0072C	0.665
PT0074C	0.645
PT0075C	0.429
PT0077C	0.531
PT0077Cx	0.528
PT0078C	0.701
PT0078Cx	0.701
PT0080C	0.993
PT0081C	0.232
PT0082C	0.402
PT0084C	0.993
PT0086C	0.993
PT0087C	0.77
PT0088C	0.986
PT0090C	0.896
PT0091C	0.89
PT0094C	0.662
PT0095C	0.981
PT0096C	0.667
PT0100C	0.573
PT0101C	0.987
PT0103C	0.595
PT0104C	0.793
PT0105C	0.952
PT0108C	0.729
PT0111C	0.651
PT0112C	0.338
PT0115C	0.65
PT0117C	0.752
PT0118C	0.953
PT0119C	0.741
PT0121C	0.653
PT0122C	0.604
PT0123C	0.499
PT0124C	0.749
PT0125C	0.548
PT0126C	0.953
PT0127C	0.616
PT0131C	0.994
PT0132C	0.326
PT0133C	0.988
PT0135C	0.99
PT0136C	0.638
